name,ra,dec,dist,mag,ci,spect
HIP 169,0.535530,-68.280769,15.328,9.24,1.39,M0V
HIP 171,0.542085,27.082256,12.1699,5.8,0.69,G3V
HIP 428,1.294455,45.786567,11.2511,9.95,1.472,M2
HIP 436,1.324170,-67.83259,15.8881,8.49,1.076,K5V
HIP 439,1.348245,-37.357364,4.3399,8.56,1.462,M2V
HIP 473,1.419960,45.812081,11.3071,8.2,1.41,K2
HIP 518,1.565340,58.436733,21.4777,5.98,0.687,G5V
HIP 523,1.579230,-65.840538,16.7084,12.17,1.55,M4
HIP 544,1.653135,29.021502,13.6705,6.07,0.752,K0V
HIP 687,2.113680,17.4243,21.7486,10.73,1.46,M0
HIP 738,2.267955,-27.122139,23.4467,11.73,1.493,
Caph,2.293305,59.14978,16.7842,2.28,0.38,F2III-IV
HIP 910,2.816085,-15.467977,18.7477,4.89,0.487,F5V
HIP 950,2.933280,-35.133119,21.2766,5.24,0.459,F3/F5V
HIP 1031,3.209625,-57.912609,20.1898,7.22,0.775,K0V
HIP 1068,3.312735,69.326881,20.0361,12.49,1.4,M6
HIP 1092,3.408150,80.665782,19.5886,11.14,1.556,M0
HIP 1242,3.867045,-16.133807,4.9868,11.49,1.75,M:
HIP 1276,4.008360,-48.260852,22.7842,11.58,1.647,M5
HIP 1292,4.047900,-79.851182,17.4978,6.59,0.749,G6V
HIP 1295,4.060860,19.860459,16.3079,11.79,1.485,M:
HIP 1322,4.151940,-50.26901,22.2025,12.38,1.53,M4
HIP 1349,4.224060,-52.651149,22.5989,6.84,0.655,G2V
HIP 1368,4.276110,40.948295,15.0038,8.99,1.37,M0
HIP 1386,4.334445,29.183006,23.2019,11.54,1.505,M:
HIP 1392,4.352280,8.876517,15.186,6.66,0.589,F5
HIP 1463,4.569120,10.202782,16.3372,10.88,1.479,M0
Groombridge 34,4.592610,44.022954,3.5873,8.09,1.56,M1V
HIP 1499,4.674435,-8.053001,23.245,6.47,0.674,G0V
HIP 1532,4.773180,-9.964854,21.0837,9.9,1.318,K7V
HIP 1598,5.001795,38.227397,24.7954,6.97,0.64,G0
HIP 1599,5.012130,-64.874791,8.5866,4.23,0.576,F9V
HIP 1608,5.034885,-17.061379,23.1965,11.67,1.49,
HIP 1696,5.331675,-45.746419,17.1321,10.41,1.475,M0
HIP 1720,5.405610,-46.09261,19.305,12.21,1.537,M6
HIP 1734,5.483490,-31.406073,17.9791,11.16,1.485,M2V:
HIP 1803,5.715765,-12.209438,20.8638,6.39,0.659,G3V
HIP 1837,5.816520,-33.167525,22.168,8.74,1.075,K3/K4V
HIP 1842,5.826405,-50.893874,19.6773,11.87,1.516,M:
HIP 1860,5.877255,77.189292,19.2271,11.31,1.462,K
HIP 1936,6.107865,-27.026772,18.2249,7.92,0.94,K2V
HIP 2021,6.418740,-77.254247,7.4588,2.82,0.618,G2IV
HIP 2072,6.550740,-43.679829,23.8095,3.93,0.175,A7V
HIP 2120,6.720240,70.142417,16.4772,10.52,1.459,M0
HIP 2540,8.062680,-63.091258,24.9688,9.65,1.367,M0
HIP 2552,8.115945,67.235669,10.0654,10.27,1.52,M2.5Ve
HIP 2715,8.628045,-4.542639,22.9358,9.27,0.57,G0
HIP 2762,8.811990,-3.592846,21.254,5.2,0.567,F8V...
HIP 2941,9.335895,-24.767267,15.4012,5.57,0.715,K1V+...
HIP 3008,9.563835,52.332093,23.6967,10.48,1.424,M0
HIP 3093,9.840945,21.250472,11.0595,5.88,0.85,K0V
HIP 3143,9.994635,-44.253218,23.9866,11.41,1.476,M4
HIP 3170,10.104885,-59.454604,24.9563,5.89,0.564,G1V
HIP 3206,10.205025,40.187173,17.328,7.36,0.937,K2V
HIP 3261,10.377135,-33.62556,19.5274,10.58,1.432,
HIP 3362,10.700895,35.548784,23.3046,10.37,1.46,M1Ve+...
HIP 3418,10.887015,33.844567,20.5719,8.73,1.13,K8
HIP 3497,11.163075,-65.649522,22.0556,6.55,0.655,G3V
HIP 3535,11.270400,1.785521,21.5657,8.03,0.983,K2V
HIP 3583,11.439750,-47.551985,15.1584,5.8,0.635,G5IV
HIP 3588,11.450925,-41.909205,15.8178,7.89,1.251,K5V comp SB
HIP 3757,12.055560,-5.13548,23.7699,12.05,1.506,
96 G. Psc,12.095730,5.280615,7.4549,5.74,0.89,K2V
HIP 3810,12.244620,16.940644,23.4522,5.07,0.502,F8V...
HIP 3813,12.256785,-50.144914,21.5889,10.76,1.426,M2
Achird,12.273900,57.815187,5.9531,3.46,0.587,G0V SB
Van Maanen's Star,12.291240,5.38861,4.2626,12.37,0.554,DG
HIP 3850,12.361410,-23.212483,18.6881,7.15,0.769,G8/K0V
HIP 3876,12.441900,70.449487,21.631,7.75,0.9,K0
HIP 3909,12.531645,-10.644326,15.753,5.17,0.514,F7IV-V
HIP 3937,12.638460,24.81672,11.8455,12.01,,
HIP 3979,12.795195,-5.039278,21.5193,6.98,0.663,G0
HIP 3998,12.840630,18.739252,21.3721,9.22,1.194,K2
HIP 4012,12.870885,58.302027,18.5117,10.66,1.363,M2
HIP 4022,12.891615,-22.910065,15.6348,8.95,1.29,K5V
HIP 4148,13.254495,-30.356915,14.1723,7.15,0.936,K2V
HIP 4151,13.267665,61.12397,18.7441,4.8,0.54,F8V
HIP 4189,13.349370,-41.238478,23.9808,11.92,1.49,
HIP 4443,14.210115,-11.588835,24.7709,11.13,1.43,
HIP 4454,14.265255,69.043453,24.4499,9.12,1.025,K4V
HIP 4473,14.329410,-62.245596,19.658,9.5,1.299,K7V
HIP 4569,14.615970,-27.857032,12.3533,11.77,1.558,
HIP 4845,15.588045,-10.423863,20.3832,10.06,1.365,K7V
HIP 4849,15.602385,5.061447,21.1416,8.16,1.008,K2
HIP 4856,15.625050,71.679816,8.2366,9.98,1.501,M3.5e
HIP 4872,15.659895,62.345045,9.9602,9.56,1.463,K5V...
HIP 4927,15.808875,20.097844,16.2285,11.36,1.59,M
HIP 5027,16.100640,-25.604998,24.0038,9.78,1.194,K4/K5V
HIP 5215,16.672965,15.272798,22.1092,11.45,1.473,M3
HIP 5247,16.779360,63.941327,14.9321,9.0,1.289,K7V
HIP 5286,16.907775,22.954976,21.0526,8.41,1.122,K4V
HIP 5336,17.062155,54.92034,7.554,5.17,0.704,G5Vp
HIP 5410,17.302020,-24.689147,22.5785,12.38,1.53,M2V:
HIP 5496,17.593890,-67.444956,8.194,9.8,1.568,K
HIP 5643,18.127530,-16.998967,3.6899,12.1,1.85,M5.5Ve
HIP 5663,18.192180,-25.235578,22.6552,9.55,1.267,K4V
HIP 5799,18.600165,-7.922826,23.3863,5.14,0.448,F5V
HIP 5812,18.642315,-53.942114,16.5618,11.16,1.637,M4
HIP 5842,18.752340,-68.81891,21.645,7.22,1.0,K2V
HIP 5862,18.795645,-45.531664,15.1149,4.97,0.571,F8V
HIP 5896,18.940560,-68.875927,20.9556,4.25,0.48,F6IV
HIP 5944,19.121985,42.93942,23.1965,6.59,0.594,G0
HIP 5957,19.163880,25.331475,23.6351,10.1,1.353,K5
HIP 6005,19.314150,-35.715901,16.2127,11.31,1.51,
HIP 6008,19.315500,-13.263263,23.3754,10.8,1.447,M1
HIP 6069,19.471875,5.473939,20.4792,11.02,1.478,M2V:
HIP 6097,19.566690,-12.899836,22.1239,11.78,1.44,M
HIP 6290,20.170380,57.327911,20.0924,10.36,1.34,K6V:
HIP 6344,20.375490,80.151797,23.872,9.67,1.292,K8
HIP 6351,20.393115,-41.656403,16.7056,10.15,1.383,K5
HIP 6365,20.439240,-46.714379,22.3664,11.48,1.627,M3
HIP 6379,20.496585,76.710284,16.8095,7.17,0.826,K0
HIP 6414,20.595945,-33.21423,24.5942,10.3,1.295,
HIP 6917,22.270320,21.723166,23.7361,7.74,0.966,K2V
HIP 7170,23.109285,-21.905126,17.8635,11.16,1.492,
HIP 7235,23.315805,-24.177962,19.0512,6.97,0.766,K0V
HIP 7339,23.640240,68.948137,20.6569,6.52,0.686,G6V
HIP 7372,23.754195,-29.910333,21.6263,7.11,0.909,K3V
Titawin,24.199485,41.405459,13.4916,4.1,0.536,F8V
